Data;Fechamento;Abertura;Maxima;Minima;Var%
01062001;6125.17;6122.96;6174.11;6054.17;0.03%
04062001;6177.74;6134.10;6185.77;6134.10;0.86%
05062001;6242.13;6183.21;6256.99;6154.49;1.04%
06062001;6192.44;6242.88;6278.04;6177.17;-0.80%
07062001;6184.25;6184.78;6219.09;6156.17;-0.13%
08062001;6187.21;6197.83;6266.12;6169.09;0.05%
11062001;6162.74;6189.06;6225.84;6138.05;-0.40%
12062001;6059.15;6174.13;6181.55;6026.06;-1.68%
13062001;6111.94;6071.15;6142.98;6071.15;0.87%
14062001;6031.27;6109.66;6109.66;6017.00;-1.32%
15062001;5915.18;6019.67;6022.75;5889.41;-1.92%
18062001;5869.04;5921.61;5948.84;5853.07;-0.78%
19062001;5922.53;5875.31;5980.14;5875.31;0.91%
20062001;5876.04;5907.65;5907.65;5812.70;-0.78%
21062001;5926.38;5881.70;5928.43;5833.92;0.86%
22062001;5941.77;5922.49;5952.83;5876.33;0.26%
25062001;5902.32;5928.50;5948.27;5866.39;-0.66%
26062001;5847.79;5898.25;5898.25;5766.73;-0.92%
27062001;5833.10;5848.13;5851.65;5814.86;-0.25%
28062001;5971.77;5835.53;5971.77;5758.69;2.38%
29062001;6058.38;5976.02;6058.50;5955.62;1.45%
02072001;6109.50;6053.81;6131.97;6005.80;0.84%
03072001;6056.84;6103.90;6108.07;6038.22;-0.86%
04072001;6015.72;6060.49;6080.70;5998.83;-0.68%
05072001;5999.19;5993.83;6040.97;5947.94;-0.27%
06072001;5862.10;5992.99;5992.99;5846.63;-2.29%
09072001;5869.86;5861.92;5894.78;5778.25;0.13%
10072001;5816.32;5869.56;5923.52;5805.74;-0.91%
11072001;5801.80;5799.77;5805.63;5731.85;-0.25%
12072001;5889.88;5814.50;5928.52;5814.50;1.52%
13072001;5928.01;5889.30;5939.85;5847.15;0.65%
16072001;5853.76;5927.45;5928.89;5842.14;-1.25%
17072001;5846.66;5846.39;5846.66;5787.33;-0.12%
18072001;5728.37;5838.21;5838.21;5710.71;-2.02%
19072001;5829.69;5727.48;5829.69;5707.09;1.77%
20072001;5764.06;5820.29;5820.29;5684.56;-1.13%
23072001;5791.73;5751.13;5844.07;5700.90;0.48%
24072001;5663.26;5780.75;5780.75;5659.26;-2.22%
