Data;Fechamento;Abertura;Maxima;Minima;Var%
01062001;2.0178;2.0110;2.0330;1.9996;0.18%
04062001;2.0191;2.0109;2.0301;1.9888;0.06%
05062001;2.0319;2.0164;2.0427;2.0066;0.63%
06062001;2.0237;2.0310;2.0392;2.0080;-0.40%
07062001;2.0082;2.0208;2.0360;2.0031;-0.77%
08062001;2.0071;2.0106;2.0225;1.9915;-0.05%
11062001;2.0085;2.0031;2.0150;1.9899;0.07%
12062001;2.0512;2.0073;2.0530;2.0021;2.13%
13062001;2.0715;2.0493;2.0733;2.0415;0.99%
14062001;2.0899;2.0724;2.0930;2.0554;0.89%
15062001;2.0830;2.0896;2.1032;2.0679;-0.33%
18062001;2.1216;2.0841;2.1327;2.0656;1.85%
19062001;2.1166;2.1205;2.1224;2.0982;-0.24%
20062001;2.1147;2.1161;2.1261;2.0991;-0.09%
21062001;2.0237;2.1152;2.1258;2.0220;-4.30%
22062001;1.9682;2.0225;2.0286;1.9666;-2.74%
25062001;1.9745;1.9659;1.9988;1.9593;0.32%
26062001;2.0156;1.9738;2.0168;1.9721;2.08%
27062001;1.9567;2.0152;2.0201;1.9503;-2.92%
28062001;1.9531;1.9537;1.9771;1.9302;-0.18%
29062001;1.9639;1.9528;1.9724;1.9465;0.55%
02072001;1.9750;1.9644;1.9797;1.9483;0.57%
03072001;1.9930;1.9739;2.0007;1.9669;0.91%
04072001;2.0472;1.9915;2.0514;1.9776;2.72%
05072001;2.0960;2.0459;2.0965;2.0073;2.38%
06072001;2.0602;2.0920;2.1523;2.0493;-1.71%
09072001;2.0831;2.0559;2.0927;2.0493;1.11%
10072001;2.1358;2.0780;2.1445;2.0738;2.53%
11072001;2.1506;2.1355;2.2179;2.1308;0.69%
12072001;2.1781;2.1451;2.2213;2.1284;1.28%
13072001;2.1856;2.1764;2.2238;2.1549;0.34%
16072001;2.1995;2.1996;2.2323;2.1966;0.64%
17072001;2.1489;2.1969;2.1996;2.1336;-2.30%
18072001;2.1880;2.1012;2.2043;2.0937;1.82%
19072001;2.1816;2.1876;2.2087;2.1583;-0.29%
20072001;2.1324;2.1827;2.2014;2.1183;-2.26%
23072001;2.0981;2.1296;2.1353;2.0787;-1.61%
24072001;2.1568;2.0969;2.1692;2.0337;2.80%
25072001;2.1898;2.1620;2.2039;2.1476;1.53%
26072001;2.2085;2.1743;2.2108;2.1618;0.85%
27072001;2.1541;2.2058;2.2123;2.1477;-2.46%
30072001;2.1223;2.1495;2.1548;2.0940;-1.48%
31072001;2.1669;2.1195;2.1783;2.1002;2.10%
01082001;2.2038;2.1657;2.2142;2.1572;1.70%
02082001;2.2020;2.2023;2.2128;2.1680;-0.08%
03082001;2.2128;2.1980;2.2201;2.1672;0.49%
06082001;2.1654;2.2101;2.2111;2.1585;-2.14%
07082001;2.1810;2.1631;2.1826;2.1339;0.72%
08082001;2.1749;2.1633;2.1933;2.1453;-0.28%
09082001;2.1985;2.1751;2.2139;2.1729;1.09%
10082001;2.1994;2.1979;2.2319;2.1947;0.04%
13082001;2.2402;2.1977;2.2515;2.1947;1.86%
14082001;2.2734;2.2409;2.2761;2.2319;1.48%
15082001;2.2751;2.2693;2.2992;2.2540;0.07%
16082001;2.2822;2.2730;2.3505;2.2517;0.31%
17082001;2.3118;2.2794;2.3266;2.2742;1.30%
20082001;2.3024;2.3103;2.3312;2.2904;-0.41%
21082001;2.3403;2.3003;2.3521;2.2925;1.65%
22082001;2.3068;2.3397;2.3552;2.2856;-1.43%
23082001;2.3146;2.2999;2.3258;2.2882;0.34%
