Data;Fechamento;Abertura;Maxima;Minima;Var%
04012006;1273.46;1268.80;1275.37;1267.74;0.37%
05012006;1273.48;1273.46;1276.91;1270.30;0.00%
06012006;1285.45;1273.48;1286.09;1273.48;0.94%
09012006;1290.15;1285.45;1290.78;1284.82;0.37%
10012006;1289.69;1290.15;1290.15;1283.76;-0.04%
11012006;1294.18;1289.72;1294.90;1288.12;0.35%
12012006;1286.06;1294.18;1294.18;1285.04;-0.63%
13012006;1287.61;1286.06;1288.96;1282.78;0.12%
17012006;1283.03;1287.61;1287.61;1278.61;-0.36%
18012006;1277.93;1282.93;1282.93;1272.08;-0.40%
19012006;1285.04;1277.93;1287.79;1277.93;0.56%
20012006;1261.49;1285.04;1285.04;1260.92;-1.83%
23012006;1263.82;1261.49;1268.19;1261.49;0.18%
24012006;1266.86;1263.82;1271.47;1263.82;0.24%
25012006;1264.68;1266.86;1271.87;1259.42;-0.17%
26012006;1273.83;1264.68;1276.44;1264.68;0.72%
27012006;1283.72;1273.83;1286.38;1273.83;0.78%
30012006;1285.19;1283.72;1287.94;1283.51;0.11%
31012006;1280.08;1285.20;1285.20;1276.85;-0.40%
01022006;1282.46;1280.08;1283.33;1277.57;0.19%
02022006;1270.84;1282.46;1282.46;1267.72;-0.91%
03022006;1264.03;1270.84;1270.87;1261.02;-0.54%
06022006;1265.02;1264.03;1267.04;1261.62;0.08%
07022006;1254.78;1265.02;1265.78;1253.61;-0.81%
08022006;1265.65;1254.78;1266.47;1254.78;0.87%
09022006;1263.78;1265.65;1274.56;1262.80;-0.15%
10022006;1266.99;1263.82;1269.89;1254.98;0.25%
13022006;1262.86;1266.99;1266.99;1258.34;-0.33%
14022006;1275.53;1262.86;1278.21;1260.80;1.00%
15022006;1280.00;1275.53;1281.00;1271.06;0.35%
16022006;1289.38;1280.00;1289.39;1280.00;0.73%
17022006;1287.24;1289.38;1289.47;1284.07;-0.17%
21022006;1283.03;1287.24;1291.92;1281.33;-0.33%
22022006;1292.67;1283.03;1294.17;1283.03;0.75%
23022006;1287.79;1292.67;1293.84;1285.14;-0.38%
24022006;1289.43;1287.79;1292.11;1285.62;0.13%
27022006;1294.12;1289.43;1297.57;1289.43;0.36%
28022006;1280.66;1294.12;1294.12;1278.66;-1.04%
01032006;1291.24;1280.66;1291.80;1280.66;0.83%
02032006;1289.14;1291.24;1291.24;1283.21;-0.16%
03032006;1287.23;1289.14;1297.33;1284.20;-0.15%
06032006;1278.26;1287.23;1288.23;1275.67;-0.70%
07032006;1275.88;1278.26;1278.26;1271.11;-0.19%
08032006;1278.47;1275.88;1280.33;1268.42;0.20%
09032006;1272.23;1278.47;1282.74;1272.23;-0.49%
10032006;1281.42;1272.23;1284.37;1271.11;0.72%
13032006;1284.13;1281.58;1287.37;1281.58;0.21%
14032006;1297.48;1284.13;1298.14;1282.67;1.04%
15032006;1303.02;1297.48;1304.40;1294.97;0.43%
16032006;1305.33;1303.02;1310.45;1303.02;0.18%
17032006;1307.25;1305.33;1309.79;1305.32;0.15%
20032006;1305.08;1307.25;1310.00;1303.59;-0.17%
21032006;1297.23;1305.08;1310.88;1295.82;-0.60%
22032006;1305.04;1297.23;1305.97;1295.81;0.60%
23032006;1301.67;1305.04;1305.04;1298.11;-0.26%
24032006;1302.95;1301.67;1306.53;1298.89;0.10%
27032006;1301.61;1302.95;1303.74;1299.09;-0.10%
28032006;1293.23;1301.61;1306.24;1291.84;-0.64%
29032006;1302.89;1293.23;1305.60;1293.23;0.75%
30032006;1300.25;1302.89;1310.15;1296.72;-0.20%
31032006;1294.87;1300.25;1303.00;1294.87;-0.41%
03042006;1297.81;1302.88;1309.19;1296.65;0.23%
04042006;1305.93;1297.81;1307.55;1294.71;0.63%
05042006;1311.56;1305.93;1312.81;1304.82;0.43%
06042006;1309.04;1311.56;1311.99;1302.44;-0.19%
07042006;1295.50;1309.04;1314.07;1294.18;-1.03%
10042006;1296.62;1295.51;1300.74;1293.17;0.09%
11042006;1286.57;1296.60;1300.71;1282.96;-0.78%
12042006;1288.12;1286.57;1290.93;1286.45;0.12%
13042006;1289.12;1288.12;1292.09;1283.37;0.08%
17042006;1285.33;1289.12;1292.45;1280.74;-0.29%
18042006;1307.28;1285.33;1309.02;1285.33;1.71%
19042006;1309.93;1307.65;1310.39;1302.79;0.20%
20042006;1311.46;1309.93;1318.16;1306.38;0.12%
21042006;1311.28;1311.46;1317.67;1306.59;-0.01%
24042006;1308.11;1311.28;1311.28;1303.79;-0.24%
25042006;1301.74;1308.11;1310.79;1299.17;-0.49%
26042006;1305.41;1301.74;1310.97;1301.74;0.28%
27042006;1309.72;1305.41;1315.00;1295.57;0.33%
