Data;Fechamento;Abertura;Maxima;Minima;Var%
01062001;2.3805;2.3795;2.3935;2.3705;-0.02%
04062001;2.3850;2.3760;2.3870;2.3540;0.19%
05062001;2.3890;2.3840;2.3930;2.3780;0.17%
06062001;2.3870;2.3770;2.3930;2.3710;-0.08%
07062001;2.3615;2.3855;2.3965;2.3585;-1.07%
08062001;2.3590;2.3600;2.3750;2.3530;-0.11%
11062001;2.3820;2.3590;2.3830;2.3590;0.97%
12062001;2.4035;2.3805;2.4055;2.3805;0.90%
13062001;2.4235;2.4085;2.4265;2.3975;0.83%
14062001;2.4235;2.4235;2.4235;2.4235;0.00%
15062001;2.4180;2.4140;2.4180;2.4010;-0.23%
18062001;2.4645;2.4135;2.4765;2.4105;1.92%
19062001;2.4790;2.4560;2.4850;2.4530;0.59%
20062001;2.4740;2.4790;2.4850;2.4620;-0.20%
21062001;2.3690;2.4580;2.4580;2.3690;-4.24%
22062001;2.2960;2.3710;2.3720;2.2960;-3.08%
25062001;2.2990;2.2810;2.3200;2.2810;0.13%
26062001;2.3335;2.2990;2.3355;2.2985;1.50%
27062001;2.2770;2.3320;2.3370;2.2670;-2.42%
28062001;2.3145;2.3025;2.3145;2.2745;1.65%
29062001;2.3105;2.3125;2.3205;2.2975;-0.17%
02072001;2.3290;2.3180;2.3370;2.3090;0.80%
03072001;2.3495;2.3325;2.3525;2.3305;0.88%
04072001;2.4185;2.3475;2.4225;2.3475;2.94%
05072001;2.5025;2.4210;2.5025;2.3885;3.47%
06072001;2.4300;2.4720;2.5560;2.4210;-2.90%
09072001;2.4475;2.4335;2.4705;2.4335;0.72%
10072001;2.4985;2.4505;2.5065;2.4425;2.08%
11072001;2.5015;2.5395;2.5695;2.4925;0.12%
12072001;2.5525;2.5875;2.6045;2.5225;2.04%
13072001;2.5565;2.5235;2.6015;2.5235;0.16%
16072001;2.5780;2.5950;2.6080;2.5720;0.84%
17072001;2.4990;2.5340;2.5510;2.4920;-3.06%
18072001;2.5045;2.4475;2.5265;2.4475;0.22%
19072001;2.5050;2.5100;2.5320;2.4790;0.02%
20072001;2.4480;2.5000;2.5000;2.4410;-2.28%
23072001;2.4140;2.4270;2.4300;2.4000;-1.39%
24072001;2.4685;2.4685;2.4745;2.4285;2.26%
25072001;2.4865;2.5055;2.5085;2.4395;0.73%
26072001;2.5150;2.4860;2.5200;2.4660;1.15%
27072001;2.4545;2.4775;2.5145;2.4505;-2.41%
30072001;2.4265;2.4085;2.4495;2.4035;-1.14%
31072001;2.4730;2.4130;2.4800;2.4010;1.92%
01082001;2.5010;2.4790;2.5140;2.4770;1.13%
02082001;2.4910;2.4720;2.5030;2.4640;-0.40%
03082001;2.5020;2.4900;2.5100;2.4560;0.44%
06082001;2.4555;2.4705;2.4805;2.4495;-1.86%
07082001;2.4850;2.4430;2.4880;2.4380;1.20%
08082001;2.4705;2.4675;2.4905;2.4495;-0.58%
09082001;2.4775;2.4625;2.4825;2.4575;0.28%
10082001;2.4620;2.4770;2.4930;2.4610;-0.63%
13082001;2.4995;2.4755;2.5065;2.4685;1.52%
14082001;2.5170;2.5150;2.5220;2.5010;0.70%
15082001;2.4890;2.5140;2.5150;2.4740;-1.11%
16082001;2.5020;2.4880;2.5170;2.4700;0.52%
17082001;2.5185;2.5155;2.5365;2.5145;0.66%
20082001;2.5175;2.5425;2.5485;2.5075;-0.04%
21082001;2.5500;2.5170;2.5640;2.5170;1.29%
22082001;2.5220;2.5485;2.5485;2.5000;-1.10%
23082001;2.5290;2.5130;2.5420;2.5100;0.28%
24082001;2.5460;2.5280;2.5580;2.5280;0.67%
27082001;2.5575;2.5505;2.5625;2.5355;0.45%
28082001;2.5575;2.5545;2.5675;2.5465;0.00%
29082001;2.5445;2.5580;2.5595;2.5178;-0.51%
30082001;2.5310;2.5450;2.5830;2.5280;-0.53%
31082001;2.5640;2.5360;2.5680;2.5360;1.30%
03092001;2.5655;2.5648;2.5715;2.5505;0.06%
04092001;2.5550;2.5560;2.5700;2.5480;-0.41%
05092001;2.5780;2.5640;2.5860;2.5600;0.90%
06092001;2.5830;2.5770;2.6000;2.5510;0.19%
07092001;2.5820;2.5820;2.5820;2.5653;-0.04%
10092001;2.6050;2.5810;2.6080;2.5653;0.89%
11092001;2.6610;2.6030;2.6900;2.6010;2.15%
12092001;2.6880;2.6610;2.6910;2.6510;1.01%
13092001;2.6580;2.6960;2.7330;2.6540;-1.12%
14092001;2.6870;2.6590;2.7250;2.6540;1.09%
17092001;2.6665;2.6645;2.6785;2.6605;-0.76%
18092001;2.6945;2.6665;2.6965;2.6665;1.05%
